Name,Disabled,FileName,ExportName,ParticleFileName,ParticleExportName,ParticleStyle,ParticleVariations,ThemeMusic,LoadingJingle,LoadingScreen,CustomButtonName
string,boolean,string,string,string,string,string,int,string,string,string,string
Default,,sc/background_basic.sc,bgr,,,,,MenuMusic,,,
Winter 2018,,sc/backgrounds/background_winter.sc,bgr,sc/ui.sc,particle_snow_,Snow,2,Snow_brawl,,,
LNY 2019,,sc/backgrounds/background_lny.sc,bgr_cny,,,,,Cnymenu_music,,,
Clash Royale,,sc/backgrounds/background_royale.sc,bgr_royale,,,,,Brawl_royale_menu_music,,,
Easter,,sc/background_basic.sc,bgr,,,,,MenuMusic,,,
Golden Week 2019,,sc/backgrounds/background_golden_week.sc,bgr_gw,,,,,Golden_Week_Menu,,,
Retropolis 2019,,sc/backgrounds/background_retropolis.sc,bgr_retro,,,,,Retropolis_menu,,,
Summer of Robots,,sc/backgrounds/background_mecha.sc,bgr_mecha,,,,,MechMenuMusic,,,
Brawl-o-Ween 2019,,sc/backgrounds/background_brawloween.sc,bgr_brawloween,,,,,Halloween_menu,,,
Brawlidays 2019,,sc/backgrounds/background_brawlidays.sc,bgr_brawlidays,,,,,Xmas_Pirate_Menu,,,
LNY 2020,,sc/backgrounds/background_lny_20.sc,bgr_lny20,,,,,Brawlcade_Menu,,,
PSG,,sc/backgrounds/background_psg.sc,bgr_psg,sc/ui.sc,,,,Footbrawl_menu_muzak,,,
SC Anniversary,,sc/backgrounds/background_s_anniversary.sc,bgr_s_anniversary,,,,,10th_Anniversary_Menu,,,
Tara's Bazaar,,sc/backgrounds/background_t_bazaar.sc,bgr_t_bazaar,,,,,Brawzaar_menu_muzak,,,
Summer of Monsters,,sc/backgrounds/background_scity.sc,bgr_scity,,,,,Monsterbrawl_menu_muzak,,,
Starr Park,,sc/backgrounds/background_giftshop.sc,bgr_giftshop,,,,,Starpark_Menu_Music,,,
Moon Festival 2020,,sc/backgrounds/background_moon_festival.sc,bgr_mf24,,,,,Lunar_Menu_Music,,,
World Finals 2020,,sc/backgrounds/background_world_finals.sc,bgr_world_finals,,,,,Elprimo_fire_menu,,,
Brawl-o-Ween 2020,,sc/backgrounds/background_brawloween_20.sc,bgr_brawloween,,,,,Elprimo_fire_menu,,,
Holiday Getaway,,sc/backgrounds/background_snowtel.sc,bgr_snowtel,,,,,Snowtel_Menu,,,
Brawlidays 2020,,sc/backgrounds/background_snowtel.sc,bgr_snowtel,sc/ui.sc,particle_snow_,Snow,2,Xmas_menu,,,
The Starr Force!,,sc/backgrounds/background_ox.sc,bgr_ox,,,,,Space_Brawl_Menu,,,
LNY 2021,,sc/backgrounds/background_lny_21.sc,bgr_lny21,,,,,Space_Brawl_LNY_Menu,,,
The Goldarm Gang,,sc/backgrounds/background_action.sc,bgr,,,,,Action_Western_Menu,,,
Ramadan 2021,,sc/backgrounds/background_ramadan.sc,bgr_ramadan,,,,,Brawzaar_menu_muzak,,,
China Anniversary,,sc/backgrounds/background_ramadan.sc,bgr_c1a,,,,,Cnymenu_music,,,
The Jurassic Splash,,sc/backgrounds/background_vp.sc,bgr_vp,,,,,Summer_Brawl_Menu_Muzak,,,
Bad Randoms 2021,,sc/backgrounds/background_punk.sc,bgr_punk,,,,,Bad_Randoms_Music,,,
Once Upon a Brawl,,sc/backgrounds/background_ft.sc,bgr_ft,sc/ui.sc,particle_ember_,Ember,2,Fairytale_Menu,sfx/fairytale_load_01.ogg,,
Moon Festival 2021,,sc/backgrounds/background_mf.sc,bgr_mf24,,,,,Lunar_Menu_Music,,,
Retropolis 2021,,sc/backgrounds/background_retro.sc,bgr_retro,,,,,Retropolis_menu,,,
Brawl-o-Ween 2021,,sc/backgrounds/background_brawloween.sc,bgr_brawloween,,,,,Halloween_menu,sfx/brawloween_load_01.ogg,sc/loading_brawloween.sc,
